candidate_id,label,discovery_route,discovery_source,existing_representation,research_question,research_status,proposed_disposition,production_status,pilot_packet,evidence_claim_ids,next_action
emotions,History of emotions,user_seed,FIELD-DISCOVERY-2026.md,Earlier emotional forms at `oldculture/emotional_forms`; no dedicated field entry,"Assess a distinct field entry, its methods and communities, and earlier roots; do not equate emotions with affect theory",queued,undecided,not_added,,[],"Assess a distinct field entry, its methods and communities, and earlier roots; do not equate emotions with affect theory"
senses,History of the senses / sensory history,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry; earlier cultural-history material provides possible context,"Assess its own programme, sources and relations to emotions, embodiment and material culture",queued,undecided,not_added,,[],"Assess its own programme, sources and relations to emotions, embodiment and material culture"
climate,Climate history,user_seed,FIELD-DISCOVERY-2026.md,`environment` covers environmental arguments; no dedicated climate-history entry,Distinguish histories using climate evidence from histories of climate knowledge and politics; assess field/strand structure,local_evidence_started,undecided,not_added,capitalism-corpus,"[""cap_claim_degroot2022""]",Use selected local sources for a bounded overview; balance first-release attention across other fields.
hgis,Historical GIS,user_seed,FIELD-DISCOVERY-2026.md,Explicit `spatialhistory/historical_gis` strand,Extend existing work and assess whether a separate method entry is needed; retain pre-2000 development,queued,undecided,not_added,,[],Extend existing work and assess whether a separate method entry is needed; retain pre-2000 development
digital_history,Digital history,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry,"Assess a distinct entry with evidence about public practice, collaboration, digital sources and research methods; investigate its relationship to digital humanities",queued,undecided,not_added,,[],"Assess a distinct entry with evidence about public practice, collaboration, digital sources and research methods; investigate its relationship to digital humanities"
computational_history,Earlier computational history,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry; `quant` and `demography` provide related contexts,Investigate continuities and claimed breaks with digital history; do not encode them as synonyms or assume one superseded the other,queued,undecided,not_added,,[],Investigate continuities and claimed breaks with digital history; do not encode them as synonyms or assume one superseded the other
digital_humanities,Digital humanities,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry,Assess a contextual programme and explicit historical connections; do not assume every digital historian belongs to it,queued,undecided,not_added,,[],Assess a contextual programme and explicit historical connections; do not assume every digital historian belongs to it
web_history,Web history,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry,"Follow Ian Milligan and other contributors, including work by Niels Brügger; distinguish histories of the web, histories using web archives, and histories of the wider internet",queued,undecided,not_added,,[],"Follow Ian Milligan and other contributors, including work by Niels Brügger; distinguish histories of the web, histories using web archives, and histories of the wider internet"
new_capitalism,New history of capitalism,user_seed,FIELD-DISCOVERY-2026.md,"Many earlier capitalism arguments, including `economic`, `global`, `labourhistory` and `anticolonial`; no dedicated entry for this programme",Assess a named programme/debate and its critics; distinguish it from all historical study of capitalism,local_evidence_started,undecided,not_added,capitalism-corpus,"[""cap_claim_burnardriello2020"", ""cap_claim_hilt2017"", ""cap_claim_olmstead2018""]",Use selected local sources for a bounded overview; balance first-release attention across other fields.
global_history,Global history,user_seed,FIELD-DISCOVERY-2026.md,"Full `global` entry, currently “World / global / connected history”","Extend and reassess umbrella structure; preserve differences between global, world and connected histories",queued,undecided,not_added,,[],"Extend and reassess umbrella structure; preserve differences between global, world and connected histories"
transnational,Transnational history,user_seed,FIELD-DISCOVERY-2026.md,Explicit discussion at `global/nation_narratives`; no dedicated entry,"Assess distinct programme/field status and relations to global, connected, migration and national histories",queued,undecided,not_added,,[],"Assess distinct programme/field status and relations to global, connected, migration and national histories"
